GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},2,3,0,0,1,1,1,1,1,1
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoAggregateSink,351,1703,75,123,71,442,69,85,3,52
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoSink,226,2000,56,99,44,622,53,184,6,151
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup,0,117,0,0,0,29,0,1,0,1
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,NumberedListItem,24,618,8,13,7,25,8,11,0,7
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoConfiguration,34,187,0,16,13,41,1,14,1,6
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoUtils,81,128,16,8,20,34,10,8,0,6
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},2,3,0,0,1,1,1,1,1,1
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoSinkFactory,16,0,0,0,3,0,3,0,3,0
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
