GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Doxia :: iText Module,org.apache.maven.doxia.module.itext,ITextSinkFactory,26,0,2,0,6,0,5,0,4,0
Doxia :: iText Module,org.apache.maven.doxia.module.itext,ITextSink,415,2478,53,67,95,677,54,117,8,98
Doxia :: iText Module,org.apache.maven.doxia.module.itext,ITextUtil,63,107,5,15,14,28,7,10,2,5
Doxia :: iText Module,org.apache.maven.doxia.module.itext,ITextFont,31,231,5,21,9,70,5,31,0,21
Doxia :: iText Module,org.apache.maven.doxia.module.itext,ITextHeader,24,53,5,5,6,17,5,7,0,7
Doxia :: iText Module,org.apache.maven.doxia.module.itext,SinkActionContext,2,30,1,1,1,8,1,4,0,4
