GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Doxia :: FML Module,org.apache.maven.doxia.module.fml.model,Faqs,183,39,30,2,37,13,23,7,8,6
Doxia :: FML Module,org.apache.maven.doxia.module.fml.model,Part,182,34,34,2,32,12,22,8,5,7
Doxia :: FML Module,org.apache.maven.doxia.module.fml.model,Faq,172,24,34,0,28,10,20,7,3,7
Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlContentParser,50,109,3,23,5,29,3,14,0,4
Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlMarkup,0,29,0,0,0,7,0,1,0,1
Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlParserModule,4,0,0,0,2,0,1,0,1,0
Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlParser,445,948,51,87,61,230,45,40,1,15
