GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Doxia :: XHTML5 Module,org.apache.maven.doxia.module.xhtml5,Xhtml5Sink,6,293,7,31,2,90,7,29,0,17
Doxia :: XHTML5 Module,org.apache.maven.doxia.module.xhtml5,Xhtml5Parser,110,434,8,54,15,102,8,32,0,9
Doxia :: XHTML5 Module,org.apache.maven.doxia.module.xhtml5,Xhtml5ParserModule,4,0,0,0,2,0,1,0,1,0
Doxia :: XHTML5 Module,org.apache.maven.doxia.module.xhtml5,Xhtml5SinkFactory,16,0,0,0,3,0,3,0,3,0
Doxia :: XHTML5 Module,org.apache.maven.doxia.module.xhtml5,AbstractXhtml5Sink,3,0,0,0,1,0,1,0,1,0
