GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.Paragraph,0,24,0,0,0,7,0,2,0,2
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.HorizontalRule,0,15,0,0,0,5,0,2,0,2
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser,365,1900,130,257,93,465,121,127,2,29
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.DefinitionListItem,0,50,1,1,0,13,1,2,0,2
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParseException,24,0,0,0,8,0,4,0,4,0
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.ListItem,0,15,0,0,0,5,0,2,0,2
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.Section2,0,20,0,0,0,7,0,3,0,3
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.Section3,0,20,0,0,0,7,0,3,0,3
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptMarkup,0,169,0,0,0,28,0,1,0,1
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.Section1,0,20,0,0,0,7,0,3,0,3
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.Section4,0,20,0,0,0,7,0,3,0,3
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.Section5,0,20,0,0,0,7,0,3,0,3
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptSink,87,1282,17,85,23,334,21,122,5,85
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.ListBreak,5,10,0,0,1,3,1,1,1,1
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParserModule,4,0,0,0,2,0,1,0,1,0
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.Table,14,500,7,59,3,136,7,32,0,4
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.Figure,0,53,1,1,0,13,1,2,0,2
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.Verbatim,23,126,5,13,3,31,5,6,0,2
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.MacroBlock,32,150,5,9,7,33,5,6,0,4
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.Comment,0,21,1,1,0,6,1,2,0,2
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptUtils,0,131,0,36,0,27,0,24,0,6
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.Section,0,19,0,0,0,7,0,2,0,2
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.Title,29,123,13,19,8,41,11,10,0,2
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.new SinkAdapter() {...},12,15,0,0,4,3,2,2,2,2
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptReaderSource,28,53,2,4,6,17,3,6,1,5
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.PageBreak,0,15,0,0,0,5,0,2,0,2
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.Block,5,176,5,19,1,48,5,16,0,9
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.NumberedListItem,5,57,2,6,1,16,2,6,0,4
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptSinkFactory,8,0,0,0,2,0,2,0,2,0
