GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocParser,95,714,10,106,16,167,10,61,0,13
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XmlWriterXdocSink,87,0,4,0,21,0,5,0,3,0
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup,0,33,0,0,0,8,0,1,0,1
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocParserModule,5,0,0,0,2,0,1,0,1,0
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocSinkFactory,16,0,0,0,3,0,3,0,3,0
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocSink,11,471,4,48,4,139,5,46,1,24
