GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,VerbatimBlock,0,16,0,0,0,7,0,2,0,2
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,ParagraphBlockParser,5,103,1,13,1,26,1,11,0,5
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,ParagraphBlock,0,29,0,4,0,12,0,6,0,4
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,HorizontalRuleBlock,0,6,0,0,0,3,0,2,0,2
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,FigureBlock,0,42,1,3,0,15,1,4,0,3
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,LinethroughBlock,0,24,0,0,0,5,0,2,0,2
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,MonospaceBlock,0,10,0,0,0,6,0,3,0,3
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,AbstractFatherBlock,5,33,1,3,1,11,1,4,0,3
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,FigureBlockParser,13,103,2,14,1,19,2,10,0,4
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,SectionBlock,0,102,2,18,0,36,2,10,0,2
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,DefinitionListBlockParser,0,120,4,24,0,24,4,15,0,5
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,SectionBlockParser,0,78,0,10,0,18,0,8,0,3
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,TextBlock,0,11,0,0,0,5,0,2,0,2
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,SupBlock,0,24,0,0,0,5,0,2,0,2
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,HorizontalRuleBlockParser,0,11,0,0,0,3,0,3,0,3
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,ItalicBlock,0,10,0,0,0,6,0,3,0,3
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,DefinitionListBlock,0,49,1,3,0,16,1,3,0,2
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,LinkBlock,5,24,2,2,1,9,2,2,0,2
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,UnderlineBlock,0,24,0,0,0,5,0,2,0,2
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,VerbatimBlockParser,0,50,1,9,0,11,1,8,0,4
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,LinebreakBlock,0,6,0,0,0,3,0,2,0,2
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,AnchorBlock,5,15,1,1,1,7,1,2,0,2
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,ChildBlocksBuilder,33,839,12,120,4,169,11,66,0,6
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,SubBlock,0,24,0,0,0,5,0,2,0,2
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,BoldBlock,0,10,0,0,0,6,0,3,0,3
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.list,BulletedListBlock,0,10,0,0,0,6,0,3,0,3
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.list,NumberedListBlock,0,11,0,0,0,6,0,3,0,3
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.list,ListItemBlock,3,25,0,2,1,11,1,5,1,4
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.list,ListBlock,0,4,0,0,0,2,0,1,0,1
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.list,ListBlockParser,0,193,1,43,0,38,1,28,0,7
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.list,TreeListBuilder,23,158,5,15,3,33,4,11,0,5
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.list,TreeComponent,61,62,5,3,12,20,5,9,2,8
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.table,TableBlockParser,13,299,6,26,2,50,6,15,0,5
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.table,TableRowBlock,0,10,0,0,0,6,0,3,0,3
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.table,TableBlock,0,42,0,2,0,13,0,5,0,4
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.table,TableCellBlock,0,10,0,0,0,6,0,3,0,3
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.table,TableCellHeaderBlock,0,10,0,0,0,6,0,3,0,3
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence,ConfluenceParserModule,4,0,0,0,2,0,1,0,1,0
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence,ConfluenceSink,99,597,9,35,56,231,36,115,28,101
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence,ConfluenceParser,11,193,0,10,2,39,0,10,0,5
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence,ConfluenceSinkFactory,8,0,0,0,2,0,2,0,2,0
