GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Doxia :: Markdown Module,org.apache.maven.doxia.module.markdown,FlexmarkDoxiaExtension,0,22,0,0,0,6,0,5,0,5
Doxia :: Markdown Module,org.apache.maven.doxia.module.markdown,FlexmarkDoxiaNodeRenderer.Factory,0,8,0,0,0,2,0,2,0,2
Doxia :: Markdown Module,org.apache.maven.doxia.module.markdown,FlexmarkDoxiaNodeRenderer.new CustomNodeRenderer() {...},7,6,0,0,2,1,1,1,1,1
Doxia :: Markdown Module,org.apache.maven.doxia.module.markdown,FlexmarkDoxiaNodeRenderer.new CustomNodeRenderer() {...},0,13,0,0,0,3,0,2,0,2
Doxia :: Markdown Module,org.apache.maven.doxia.module.markdown,MarkdownParser,31,352,3,31,8,79,4,18,1,4
Doxia :: Markdown Module,org.apache.maven.doxia.module.markdown,MarkdownParser.MarkdownHtmlParser,0,47,0,8,0,14,0,7,0,3
Doxia :: Markdown Module,org.apache.maven.doxia.module.markdown,FlexmarkDoxiaNodeRenderer,74,92,7,3,15,15,6,3,1,3
Doxia :: Markdown Module,org.apache.maven.doxia.module.markdown,MarkdownParserModule,0,15,0,0,0,2,0,1,0,1
