GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Branch Coverage,statehment coverage,Complexity,Mutation Score(%)
Doxia :: XHTML5 Module,org.apache.maven.doxia.module.xhtml5,Xhtml5Sink,6,293,7,31,2,90,7,29,0,17,0.815789474,97.82608696,36,82
Doxia :: XHTML5 Module,org.apache.maven.doxia.module.xhtml5,Xhtml5Parser,110,434,8,54,15,102,8,32,0,9,0.870967742,87.17948718,40,74
Doxia :: FML Module,org.apache.maven.doxia.module.fml.model,Faqs,183,39,30,2,37,13,23,7,8,6,0.0625,26,30,13
Doxia :: FML Module,org.apache.maven.doxia.module.fml.model,Part,182,34,34,2,32,12,22,8,5,7,0.055555556,27.27272727,30,13
Doxia :: FML Module,org.apache.maven.doxia.module.fml.model,Faq,172,24,34,0,28,10,20,7,3,7,0,26.31578947,27,10
Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlContentParser,70,89,8,18,10,24,5,12,0,4,0.692307692,70.58823529,17,55
Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlParser,445,925,51,87,61,223,45,40,1,15,0.630434783,78.52112676,85,0
Doxia :: Latex Module,org.apache.maven.doxia.module.latex,LatexSink,179,1376,36,79,63,375,46,148,11,114,0.686956522,85.61643836,194,78
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,ParagraphBlockParser,5,101,1,13,1,25,1,11,0,5,0.928571429,96.15384615,12,93
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,ParagraphBlock,0,29,0,4,0,12,0,6,0,4,1,100,6,100
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,FigureBlock,0,42,1,3,0,15,1,4,0,3,0.75,100,5,89
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,AbstractFatherBlock,5,33,1,3,1,11,1,4,0,3,0.75,91.66666667,5,100
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,FigureBlockParser,8,103,2,14,1,19,2,10,0,4,0.875,95,12,87
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,SectionBlock,0,102,2,18,0,36,2,10,0,2,0.9,100,12,100
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,DefinitionListBlockParser,0,120,4,24,0,24,4,15,0,5,0.857142857,100,19,95
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,SectionBlockParser,0,78,0,10,0,18,0,8,0,3,1,100,8,100
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,DefinitionListBlock,0,49,1,3,0,16,1,3,0,2,0.75,100,4,80
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,LinkBlock,5,24,2,2,1,9,2,2,0,2,0.5,90,4,100
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,VerbatimBlockParser,0,50,1,9,0,11,1,8,0,4,0.9,100,9,100
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,AnchorBlock,5,15,1,1,1,7,1,2,0,2,0.5,87.5,3,100
