GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Doxia :: Simplified DocBook Module,org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Simplified DocBook Module,org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Simplified DocBook Module,org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Simplified DocBook Module,org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Simplified DocBook Module,org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup,0,477,0,0,0,119,0,1,0,1
Doxia :: Simplified DocBook Module,org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Simplified DocBook Module,org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Simplified DocBook Module,org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Simplified DocBook Module,org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Simplified DocBook Module,org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},2,3,0,0,1,1,1,1,1,1
