SkippingIterator.java,100
BooleanComparator.java,76
FalsePredicate.java,100
PredicatedSortedBag.java,20
PredicateUtils.java,83
UnmodifiableListIterator.java,100
ExceptionClosure.java,100
ConstantFactory.java,80
PredicatedQueue.java,88
ComparatorUtils.java,83
MultiMapUtils.java,68
ArrayCountingBloomFilter.java,94
DualLinkedHashBidiMap.java,0
ChainedTransformer.java,86
FunctorUtils.java,82
SwitchTransformer.java,74
PassiveExpiringMap.java,0
IteratorIterable.java,100
ArrayIterator.java,82
UnmodifiableOrderedMapIterator.java,100
DefaultKeyValue.java,90
TransformerPredicate.java,75
ReverseListIterator.java,100
StaticHasher.java,100
InstanceofPredicate.java,67
